,texto,tokens
119,dese cuándo está ganado su puesto sr ánimo guadalajaramuchas gracias por el apoyo y confianza ánimo,"['dese', 'cuándo', 'está', 'ganado', 'su', 'puesto', 'sr', 'ánimo', 'guadalajaramuchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
120,es admirable señor gracias lidia saludos y excelente fin de semana,"['es', 'admirable', 'señor', 'gracias', 'lidia', 'saludos', 'y', 'excelente', 'fin', 'de', 'semana']"
121,siiiiiiiiánimo,['siiiiiiiiánimo']
122,así será lemus mi familia y yo siempre hemos votado por ti muchas gracias por el apoyo y confianza ánimo,"['así', 'será', 'lemus', 'mi', 'familia', 'y', 'yo', 'siempre', 'hemos', 'votado', 'por', 'ti', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
123,ánimo,['ánimo']
124,ánimo,['ánimo']
125,,[]
126,,[]
127,gobernadorgracias por el apoyo y confianza ánimo,"['gobernadorgracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
128,próximo gobernadorgracias por el apoyo y confianza ánimo,"['próximo', 'gobernadorgracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo']"
129,vamos con todo mi próximo gobernador gracias por el apoyo ánimo,"['vamos', 'con', 'todo', 'mi', 'próximo', 'gobernador', 'gracias', 'por', 'el', 'apoyo', 'ánimo']"
130,ánimo,['ánimo']
131,claro que si presidente esperemos que nos vaya mejor con usted como gobernador saludos desde zapopan muchas gracias por el apoyo saludos hasta zapopan ánimo guadalajara vamos bien y se pondrá mejor,"['claro', 'que', 'si', 'presidente', 'esperemos', 'que', 'nos', 'vaya', 'mejor', 'con', 'usted', 'como', 'gobernador', 'saludos', 'desde', 'zapopan', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'saludos', 'hasta', 'zapopan', 'ánimo', 'guadalajara', 'vamos', 'bien', 'y', 'se', 'pondrá', 'mejor']"
132,ese lema está en la entrada del teatro muy buena frasebuenísima,"['ese', 'lema', 'está', 'en', 'la', 'entrada', 'del', 'teatro', 'muy', 'buena', 'frasebuenísima']"
133,qué gran discurso de unidad seguiremos trabajando en equipo y unión por nuestro estado ánimo,"['qué', 'gran', 'discurso', 'de', 'unidad', 'seguiremos', 'trabajando', 'en', 'equipo', 'y', 'unión', 'por', 'nuestro', 'estado', 'ánimo']"
134,animo pablo haz hecho más que muchos tu si sabes trabajarmuchas gracias por el apoyo y confianza ánimo guadalajara vamos bien y se pondrá mejor,"['animo', 'pablo', 'haz', 'hecho', 'más', 'que', 'muchos', 'tu', 'si', 'sabes', 'trabajarmuchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo', 'guadalajara', 'vamos', 'bien', 'y', 'se', 'pondrá', 'mejor']"
135,gracias a este hombre y su esfuerzo el partido es lo que es en jalisco y se transformógran visionarioorganizador y caráctersin duda mi amigo y gobernador enrique hizo las cosas bien en guadalajara y ahora lo hace en el estado ánimo,"['gracias', 'a', 'este', 'hombre', 'y', 'su', 'esfuerzo', 'el', 'partido', 'es', 'lo', 'que', 'es', 'en', 'jalisco', 'y', 'se', 'transformógran', 'visionarioorganizador', 'y', 'caráctersin', 'duda', 'mi', 'amigo', 'y', 'gobernador', 'enrique', 'hizo', 'las', 'cosas', 'bien', 'en', 'guadalajara', 'y', 'ahora', 'lo', 'hace', 'en', 'el', 'estado', 'ánimo']"
136,yo no voy por colores yo voy por la persona y desde que comencé a seguir su desempeño como presidente de gdl dije el futuro gober muchas gracias por el apoyo y confianza ánimo guadalajara,"['yo', 'no', 'voy', 'por', 'colores', 'yo', 'voy', 'por', 'la', 'persona', 'y', 'desde', 'que', 'comencé', 'a', 'seguir', 'su', 'desempeño', 'como', 'presidente', 'de', 'gdl', 'dije', 'el', 'futuro', 'gober', 'muchas', 'gracias', 'por', 'el', 'apoyo', 'y', 'confianza', 'ánimo', 'guadalajara']"
