,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
73,5.0,3.0,108.0,121.0,4.795790545596741,FACEBOOK
74,1.0,1.0,61.0,64.0,4.1588830833596715,FACEBOOK
75,43.0,47.0,281.0,554.0,6.317164686747284,FACEBOOK
76,16.0,13.0,211.0,223.0,5.407171771460119,FACEBOOK
77,10.0,30.0,185.0,464.0,6.139884552226255,FACEBOOK
78,22.0,7.0,150.0,167.0,5.117993812416755,FACEBOOK
79,29.0,8.0,87.0,101.0,4.61512051684126,FACEBOOK
80,38.0,21.0,190.0,211.0,5.351858133476067,FACEBOOK
81,12.0,4.0,144.0,156.0,5.049856007249537,FACEBOOK
82,28.0,12.0,240.0,267.0,5.58724865840025,FACEBOOK
83,8.0,4.0,171.0,177.0,5.176149732573829,FACEBOOK
84,6.0,6.0,139.0,151.0,5.017279836814924,FACEBOOK
85,19.0,10.0,190.0,199.0,5.293304824724492,FACEBOOK
86,26.0,5.0,179.0,207.0,5.332718793265369,FACEBOOK
87,17.0,6.0,208.0,229.0,5.43372200355424,FACEBOOK
88,7.0,2.0,143.0,148.0,4.997212273764115,FACEBOOK
89,8.0,1.0,102.0,117.0,4.762173934797756,FACEBOOK
90,17.0,52.0,231.0,448.0,6.104793232414985,FACEBOOK
91,14.0,3.0,148.0,158.0,5.062595033026967,FACEBOOK
92,23.0,20.0,178.0,205.0,5.3230099791384085,FACEBOOK
93,19.0,3.0,196.0,225.0,5.41610040220442,FACEBOOK
94,13.0,12.0,117.0,138.0,4.927253685157205,FACEBOOK
95,23.0,5.0,190.0,209.0,5.342334251964811,FACEBOOK
96,0.0,0.0,0.0,0.0,0.0,FACEBOOK
97,0.0,0.0,0.0,0.0,0.0,FACEBOOK
98,0.0,0.0,0.0,0.0,0.0,FACEBOOK
99,0.0,0.0,0.0,0.0,0.0,FACEBOOK
0,2.0,0.0,81.0,1554.0,7.348587530927593,INSTAGRAM
1,0.0,0.0,57.0,595.0,6.38856140554563,INSTAGRAM
2,0.0,0.0,44.0,653.0,6.481577129276431,INSTAGRAM
3,5.0,0.0,113.0,1748.0,7.466227556215481,INSTAGRAM
4,2.0,0.0,49.0,1436.0,7.269616749608169,INSTAGRAM
5,0.0,0.0,48.0,815.0,6.703188113240863,INSTAGRAM
6,1.0,0.0,66.0,576.0,6.3561076606958915,INSTAGRAM
7,0.0,0.0,62.0,615.0,6.421622267806518,INSTAGRAM
8,5.0,0.0,129.0,3073.0,8.030409562130485,INSTAGRAM
9,1.0,0.0,51.0,1858.0,7.527255919373784,INSTAGRAM
10,1.0,0.0,72.0,1889.0,7.543802867501509,INSTAGRAM
11,52.0,0.0,3353.0,80400.0,11.294769455167058,INSTAGRAM
12,2.0,0.0,64.0,2591.0,7.85979918056211,INSTAGRAM
13,0.0,0.0,44.0,1239.0,7.122059881629142,INSTAGRAM
14,9.0,0.0,247.0,3491.0,8.157943507105037,INSTAGRAM
15,2.0,0.0,79.0,2457.0,7.806696372521179,INSTAGRAM
16,4.0,0.0,124.0,3122.0,8.046229101075378,INSTAGRAM
17,5.0,0.0,121.0,2838.0,7.950854857719988,INSTAGRAM
18,1.0,0.0,25.0,962.0,6.8690144506657065,INSTAGRAM
19,3.0,0.0,64.0,971.0,6.878326468291325,INSTAGRAM
20,1.0,0.0,74.0,2006.0,7.603897968521881,INSTAGRAM
21,6.0,0.0,130.0,2846.0,7.953669778649798,INSTAGRAM
22,3.0,0.0,131.0,1874.0,7.535830462798367,INSTAGRAM
23,12.0,0.0,203.0,3295.0,8.100161446936607,INSTAGRAM
